policy,policy_base,workload,cache_kb,assoc,leader_fraction,interval_k,hit_rate_pct,miss_rate_pct,mpki,l2_hits,l2_misses,sim_cycles,sim_instrs,metadata_bits_per_line
adaptive_lf20_iv1000k,adaptive,loop,256,32,20,1000,94.56,5.44,54.4,567360,32640,840097842,600000000,2
adaptive_lf40_iv250k,adaptive,loop,256,32,40,250,91.87,8.13,81.3,551220,48780,868447874,600000000,2
adaptive_lf40_iv500k,adaptive,loop,256,32,40,500,91.59,8.41,84.1,549540,50459,859807484,600000000,2
adaptive_lf40_iv1000k,adaptive,loop,256,32,40,1000,92.53,7.47,74.7,555180,44819,858715705,600000000,2
lru,lru,stream,256,32,,,47.23,52.77,527.7,188920,211080,3170924573,400000000,1
fifo,fifo,stream,256,32,,,46.42,53.58,535.8,185680,214320,3167056200,400000000,1
random,random,stream,256,32,,,45.78,54.22,542.2,183120,216880,3217216848,400000000,0
adaptive_lf10_iv250k,adaptive,stream,256,32,10,250,44.74,55.26,552.6,178960,221040,3174685569,400000000,2
adaptive_lf10_iv500k,adaptive,stream,256,32,10,500,45.17,54.83,548.3,180680,219320,3227065683,400000000,2
adaptive_lf10_iv1000k,adaptive,stream,256,32,10,1000,44.21,55.79,557.9,176840,223160,3212502837,400000000,2
adaptive_lf20_iv250k,adaptive,stream,256,32,20,250,47.01,52.99,529.9,188040,211960,3162955618,400000000,2
adaptive_lf20_iv500k,adaptive,stream,256,32,20,500,47.35,52.65,526.5,189400,210600,3244296844,400000000,2
adaptive_lf20_iv1000k,adaptive,stream,256,32,20,1000,46.11,53.89,538.9,184440,215559,3155135452,400000000,2
adaptive_lf40_iv250k,adaptive,stream,256,32,40,250,42.42,57.58,575.8,169680,230320,3220676663,400000000,2
adaptive_lf40_iv500k,adaptive,stream,256,32,40,500,43.49,56.51,565.1,173960,226039,3192846219,400000000,2
adaptive_lf40_iv1000k,adaptive,stream,256,32,40,1000,42.93,57.07,570.7,171720,228280,3162478652,400000000,2
lru,lru,mixed,256,32,,,73.98,26.02,260.2,384696,135304,1729243679,520000000,1
fifo,fifo,mixed,256,32,,,76.62,23.38,233.8,398424,121576,1765763072,520000000,1
random,random,mixed,256,32,,,67.1,32.9,329.0,348920,171079,1737323192,520000000,0
adaptive_lf10_iv250k,adaptive,mixed,256,32,10,250,82.13,17.87,178.7,427076,92923,1756437321,520000000,2
adaptive_lf10_iv500k,adaptive,mixed,256,32,10,500,80.83,19.17,191.7,420316,99683,1739276439,520000000,2
adaptive_lf10_iv1000k,adaptive,mixed,256,32,10,1000,80.64,19.36,193.6,419328,100672,1743530928,520000000,2
adaptive_lf20_iv250k,adaptive,mixed,256,32,20,250,82.56,17.44,174.4,429312,90688,1759483067,520000000,2
adaptive_lf20_iv500k,adaptive,mixed,256,32,20,500,84.0,16.0,160.0,436800,83200,1719137185,520000000,2
adaptive_lf20_iv1000k,adaptive,mixed,256,32,20,1000,84.11,15.89,158.9,437372,82628,1746686357,520000000,2
adaptive_lf40_iv250k,adaptive,mixed,256,32,40,250,79.74,20.26,202.6,414648,105352,1755002553,520000000,2
adaptive_lf40_iv500k,adaptive,mixed,256,32,40,500,79.05,20.95,209.5,411060,108940,1757111092,520000000,2
adaptive_lf40_iv1000k,adaptive,mixed,256,32,40,1000,80.06,19.94,199.4,416312,103688,1731794335,520000000,2
lru,lru,stride,256,32,,,59.17,40.83,408.3,284016,195984,2099420914,480000000,1
fifo,fifo,stride,256,32,,,62.88,37.12,371.2,301824,178176,2111432360,480000000,1
random,random,stride,256,32,,,55.51,44.49,444.9,266448,213551,2126174264,480000000,0
adaptive_lf10_iv250k,adaptive,stride,256,32,10,250,67.02,32.98,329.8,321696,158304,2066972295,480000000,2
adaptive_lf10_iv500k,adaptive,stride,256,32,10,500,67.36,32.64,326.4,323328,156672,2076518671,480000000,2
adaptive_lf10_iv1000k,adaptive,stride,256,32,10,1000,66.29,33.71,337.1,318192,161807,2100555398,480000000,2
adaptive_lf20_iv250k,adaptive,stride,256,32,20,250,68.11,31.89,318.9,326928,153071,2062301331,480000000,2
adaptive_lf20_iv500k,adaptive,stride,256,32,20,500,69.32,30.68,306.8,332736,147263,2070761317,480000000,2
adaptive_lf20_iv1000k,adaptive,stride,256,32,20,1000,67.77,32.23,322.3,325296,154704,2110898588,480000000,2
adaptive_lf40_iv250k,adaptive,stride,256,32,40,250,64.05,35.95,359.5,307440,172560,2119687964,480000000,2
adaptive_lf40_iv500k,adaptive,stride,256,32,40,500,64.99,35.01,350.1,311952,168047,2080812928,480000000,2
adaptive_lf40_iv1000k,adaptive,stride,256,32,40,1000,63.41,36.59,365.9,304368,175632,2124569822,480000000,2
lru,lru,loop,512,8,,,92.51,7.49,74.9,555060,44939,847609454,600000000,1
fifo,fifo,loop,512,8,,,85.15,14.85,148.5,510900,89099,861631033,600000000,1
random,random,loop,512,8,,,80.25,19.75,197.5,481500,118500,862374471,600000000,0
adaptive_lf10_iv250k,adaptive,loop,512,8,10,250,90.25,9.75,97.5,541500,58500,840227388,600000000,2
adaptive_lf10_iv500k,adaptive,loop,512,8,10,500,88.95,11.05,110.5,533700,66300,857075069,600000000,2
adaptive_lf10_iv1000k,adaptive,loop,512,8,10,1000,88.94,11.06,110.6,533640,66360,854269010,600000000,2
adaptive_lf20_iv250k,adaptive,loop,512,8,20,250,91.39,8.61,86.1,548340,51659,850031807,600000000,2
adaptive_lf20_iv500k,adaptive,loop,512,8,20,500,91.5,8.5,85.0,549000,50999,855376801,600000000,2
adaptive_lf20_iv1000k,adaptive,loop,512,8,20,1000,90.99,9.01,90.1,545940,54059,854895121,600000000,2
adaptive_lf40_iv250k,adaptive,loop,512,8,40,250,86.86,13.14,131.4,521160,78839,848305890,600000000,2
adaptive_lf40_iv500k,adaptive,loop,512,8,40,500,86.7,13.3,133.0,520200,79800,846987967,600000000,2
adaptive_lf40_iv1000k,adaptive,loop,512,8,40,1000,86.46,13.54,135.4,518760,81239,856080082,600000000,2
lru,lru,stream,512,8,,,41.9,58.1,581.0,167600,232399,3173351956,400000000,1
fifo,fifo,stream,512,8,,,42.68,57.32,573.2,170720,229279,3221519890,400000000,1
random,random,stream,512,8,,,42.4,57.6,576.0,169600,230400,3202549275,400000000,0
adaptive_lf10_iv250k,adaptive,stream,512,8,10,250,40.0,60.0,600.0,160000,240000,3163729291,400000000,2
adaptive_lf10_iv500k,adaptive,stream,512,8,10,500,40.13,59.87,598.7,160520,239480,3175822032,400000000,2
adaptive_lf10_iv1000k,adaptive,stream,512,8,10,1000,39.87,60.13,601.3,159480,240519,3155534060,400000000,2
adaptive_lf20_iv250k,adaptive,stream,512,8,20,250,42.3,57.7,577.0,169200,230799,3178596099,400000000,2
adaptive_lf20_iv500k,adaptive,stream,512,8,20,500,43.1,56.9,569.0,172400,227599,3204745858,400000000,2
adaptive_lf20_iv1000k,adaptive,stream,512,8,20,1000,42.51,57.49,574.9,170040,229960,3164217755,400000000,2
adaptive_lf40_iv250k,adaptive,stream,512,8,40,250,38.68,61.32,613.2,154720,245280,3202283489,400000000,2
adaptive_lf40_iv500k,adaptive,stream,512,8,40,500,38.93,61.07,610.7,155720,244280,3210076741,400000000,2
adaptive_lf40_iv1000k,adaptive,stream,512,8,40,1000,38.22,61.78,617.8,152880,247120,3197806703,400000000,2
lru,lru,mixed,512,8,,,69.06,30.94,309.4,359112,160888,1773450891,520000000,1
fifo,fifo,mixed,512,8,,,71.65,28.35,283.5,372580,147420,1764485455,520000000,1
random,random,mixed,512,8,,,62.91,37.09,370.9,327132,192868,1734241068,520000000,0
adaptive_lf10_iv250k,adaptive,mixed,512,8,10,250,76.86,23.14,231.4,399672,120328,1718848410,520000000,2
adaptive_lf10_iv500k,adaptive,mixed,512,8,10,500,75.99,24.01,240.1,395148,124851,1746370040,520000000,2
adaptive_lf10_iv1000k,adaptive,mixed,512,8,10,1000,76.11,23.89,238.9,395772,124228,1768785574,520000000,2
adaptive_lf20_iv250k,adaptive,mixed,512,8,20,250,77.66,22.34,223.4,403832,116168,1755161835,520000000,2
adaptive_lf20_iv500k,adaptive,mixed,512,8,20,500,79.05,20.95,209.5,411060,108940,1755077413,520000000,2
adaptive_lf20_iv1000k,adaptive,mixed,512,8,20,1000,77.91,22.09,220.9,405132,114867,1742266222,520000000,2
adaptive_lf40_iv250k,adaptive,mixed,512,8,40,250,74.45,25.55,255.5,387140,132859,1741687584,520000000,2
adaptive_lf40_iv500k,adaptive,mixed,512,8,40,500,75.61,24.39,243.9,393172,126828,1769109979,520000000,2
adaptive_lf40_iv1000k,adaptive,mixed,512,8,40,1000,74.12,25.88,258.8,385424,134576,1751364684,520000000,2
lru,lru,stride,512,8,,,56.91,43.09,430.9,273168,206831,2127984146,480000000,1
fifo,fifo,stride,512,8,,,59.18,40.82,408.2,284064,195936,2079424910,480000000,1
random,random,stride,512,8,,,53.26,46.74,467.4,255647,224352,2081653519,480000000,0
adaptive_lf10_iv250k,adaptive,stride,512,8,10,250,61.95,38.05,380.5,297360,182639,2068243859,480000000,2
adaptive_lf10_iv500k,adaptive,stride,512,8,10,500,61.86,38.14,381.4,296928,183071,2091925903,480000000,2
adaptive_lf10_iv1000k,adaptive,stride,512,8,10,1000,62.74,37.26,372.6,301152,178848,2081077706,480000000,2
adaptive_lf20_iv250k,adaptive,stride,512,8,20,250,64.04,35.96,359.6,307392,172608,2105938408,480000000,2
adaptive_lf20_iv500k,adaptive,stride,512,8,20,500,65.19,34.81,348.1,312912,167087,2088955226,480000000,2
adaptive_lf20_iv1000k,adaptive,stride,512,8,20,1000,64.92,35.08,350.8,311616,168384,2118705118,480000000,2
adaptive_lf40_iv250k,adaptive,stride,512,8,40,250,61.08,38.92,389.2,293184,186816,2103648443,480000000,2
adaptive_lf40_iv500k,adaptive,stride,512,8,40,500,61.09,38.91,389.1,293232,186768,2123042158,480000000,2
adaptive_lf40_iv1000k,adaptive,stride,512,8,40,1000,60.42,39.58,395.8,290016,189984,2099221842,480000000,2
lru,lru,loop,512,16,,,95.46,4.54,45.4,572760,27239,857432393,600000000,1
fifo,fifo,loop,512,16,,,85.78,14.22,142.2,514680,85320,852101511,600000000,1
random,random,loop,512,16,,,81.82,18.18,181.8,490920,109079,871944037,600000000,0
adaptive_lf10_iv250k,adaptive,loop,512,16,10,250,92.05,7.95,79.5,552300,47700,847793251,600000000,2
adaptive_lf10_iv500k,adaptive,loop,512,16,10,500,91.06,8.94,89.4,546360,53640,859228148,600000000,2
adaptive_lf10_iv1000k,adaptive,loop,512,16,10,1000,92.41,7.59,75.9,554460,45539,864097057,600000000,2
adaptive_lf20_iv250k,adaptive,loop,512,16,20,250,93.86,6.14,61.4,563160,36840,850873585,600000000,2
adaptive_lf20_iv500k,adaptive,loop,512,16,20,500,92.92,7.08,70.8,557520,42479,840396632,600000000,2
adaptive_lf20_iv1000k,adaptive,loop,512,16,20,1000,93.67,6.33,63.3,562020,37980,846722484,600000000,2
adaptive_lf40_iv250k,adaptive,loop,512,16,40,250,89.19,10.81,108.1,535140,64859,846133476,600000000,2
adaptive_lf40_iv500k,adaptive,loop,512,16,40,500,91.35,8.65,86.5,548100,51900,862651703,600000000,2
adaptive_lf40_iv1000k,adaptive,loop,512,16,40,1000,90.06,9.94,99.4,540360,59640,867162673,600000000,2
lru,lru,stream,512,16,,,44.93,55.07,550.7,179720,220280,3178222624,400000000,1
fifo,fifo,stream,512,16,,,44.48,55.52,555.2,177920,222080,3225319281,400000000,1
random,random,stream,512,16,,,44.16,55.84,558.4,176640,223360,3215517310,400000000,0
adaptive_lf10_iv250k,adaptive,stream,512,16,10,250,43.19,56.81,568.1,172760,227240,3171150293,400000000,2
adaptive_lf10_iv500k,adaptive,stream,512,16,10,500,43.01,56.99,569.9,172040,227960,3214834967,400000000,2
adaptive_lf10_iv1000k,adaptive,stream,512,16,10,1000,42.65,57.35,573.5,170600,229400,3162908587,400000000,2
adaptive_lf20_iv250k,adaptive,stream,512,16,20,250,44.46,55.54,555.4,177840,222160,3184721965,400000000,2
adaptive_lf20_iv500k,adaptive,stream,512,16,20,500,45.13,54.87,548.7,180520,219480,3234536437,400000000,2
adaptive_lf20_iv1000k,adaptive,stream,512,16,20,1000,44.43,55.57,555.7,177720,222280,3219349041,400000000,2
adaptive_lf40_iv250k,adaptive,stream,512,16,40,250,40.4,59.6,596.0,161600,238400,3246767682,400000000,2
adaptive_lf40_iv500k,adaptive,stream,512,16,40,500,41.28,58.72,587.2,165120,234879,3208086191,400000000,2
adaptive_lf40_iv1000k,adaptive,stream,512,16,40,1000,40.6,59.4,594.0,162400,237600,3185988413,400000000,2
lru,lru,mixed,512,16,,,73.42,26.58,265.8,381784,138216,1743517376,520000000,1
fifo,fifo,mixed,512,16,,,74.13,25.87,258.7,385476,134524,1773399724,520000000,1
random,random,mixed,512,16,,,65.81,34.19,341.9,342212,177788,1758702816,520000000,0
adaptive_lf10_iv250k,adaptive,mixed,512,16,10,250,78.75,21.25,212.5,409500,110500,1726664483,520000000,2
adaptive_lf10_iv500k,adaptive,mixed,512,16,10,500,78.87,21.13,211.3,410124,109876,1756284458,520000000,2
adaptive_lf10_iv1000k,adaptive,mixed,512,16,10,1000,79.26,20.74,207.4,412152,107848,1756061174,520000000,2
adaptive_lf20_iv250k,adaptive,mixed,512,16,20,250,80.24,19.76,197.6,417248,102752,1744022607,520000000,2
adaptive_lf20_iv500k,adaptive,mixed,512,16,20,500,82.24,17.76,177.6,427648,92351,1736142027,520000000,2
adaptive_lf20_iv1000k,adaptive,mixed,512,16,20,1000,81.44,18.56,185.6,423488,96512,1720439333,520000000,2
adaptive_lf40_iv250k,adaptive,mixed,512,16,40,250,78.05,21.95,219.5,405860,114140,1749424079,520000000,2
adaptive_lf40_iv500k,adaptive,mixed,512,16,40,500,76.6,23.4,234.0,398320,121680,1727350469,520000000,2
adaptive_lf40_iv1000k,adaptive,mixed,512,16,40,1000,77.08,22.92,229.2,400816,119183,1747472549,520000000,2
lru,lru,stride,512,16,,,59.77,40.23,402.3,286896,193104,2124469273,480000000,1
fifo,fifo,stride,512,16,,,62.03,37.97,379.7,297744,182256,2072246782,480000000,1
random,random,stride,512,16,,,55.95,44.05,440.5,268560,211440,2102038352,480000000,0
adaptive_lf10_iv250k,adaptive,stride,512,16,10,250,65.38,34.62,346.2,313824,166175,2093645097,480000000,2
adaptive_lf10_iv500k,adaptive,stride,512,16,10,500,64.76,35.24,352.4,310848,169152,2114707377,480000000,2
adaptive_lf10_iv1000k,adaptive,stride,512,16,10,1000,65.9,34.1,341.0,316320,163680,2076500824,480000000,2
adaptive_lf20_iv250k,adaptive,stride,512,16,20,250,67.06,32.94,329.4,321888,158112,2084170891,480000000,2
adaptive_lf20_iv500k,adaptive,stride,512,16,20,500,68.05,31.95,319.5,326640,153360,2091041633,480000000,2
adaptive_lf20_iv1000k,adaptive,stride,512,16,20,1000,67.72,32.28,322.8,325056,154944,2113675279,480000000,2
adaptive_lf40_iv250k,adaptive,stride,512,16,40,250,62.54,37.46,374.6,300192,179808,2114048373,480000000,2
adaptive_lf40_iv500k,adaptive,stride,512,16,40,500,63.04,36.96,369.6,302592,177408,2122631267,480000000,2
adaptive_lf40_iv1000k,adaptive,stride,512,16,40,1000,62.97,37.03,370.3,302256,177743,2115551996,480000000,2
lru,lru,loop,512,32,,,98.4,1.6,16.0,590400,9600,852168786,600000000,1
fifo,fifo,loop,512,32,,,93.07,6.93,69.3,558420,41580,856081855,600000000,1
random,random,loop,512,32,,,86.18,13.82,138.2,517080,82920,865616721,600000000,0
adaptive_lf10_iv250k,adaptive,loop,512,32,10,250,96.21,3.79,37.9,577260,22740,853907912,600000000,2
adaptive_lf10_iv500k,adaptive,loop,512,32,10,500,97.03,2.97,29.7,582180,17819,850455149,600000000,2
adaptive_lf10_iv1000k,adaptive,loop,512,32,10,1000,96.14,3.86,38.6,576840,23159,844699752,600000000,2
adaptive_lf20_iv250k,adaptive,loop,512,32,20,250,99.24,0.76,7.6,595440,4560,850772565,600000000,2
adaptive_lf20_iv500k,adaptive,loop,512,32,20,500,98.11,1.89,18.9,588660,11340,857328864,600000000,2
adaptive_lf20_iv1000k,adaptive,loop,512,32,20,1000,97.31,2.69,26.9,583860,16140,857509231,600000000,2
adaptive_lf40_iv250k,adaptive,loop,512,32,40,250,95.24,4.76,47.6,571440,28559,861719904,600000000,2
adaptive_lf40_iv500k,adaptive,loop,512,32,40,500,94.58,5.42,54.2,567480,32520,858732339,600000000,2
adaptive_lf40_iv1000k,adaptive,loop,512,32,40,1000,95.57,4.43,44.3,573420,26580,865657155,600000000,2
lru,lru,stream,512,32,,,48.81,51.19,511.9,195240,204760,3200763987,400000000,1
fifo,fifo,stream,512,32,,,50.04,49.96,499.6,200159,199840,3235046350,400000000,1
random,random,stream,512,32,,,49.55,50.45,504.5,198200,201799,3194221482,400000000,0
adaptive_lf10_iv250k,adaptive,stream,512,32,10,250,47.5,52.5,525.0,190000,210000,3197455038,400000000,2
adaptive_lf10_iv500k,adaptive,stream,512,32,10,500,48.02,51.98,519.8,192080,207920,3192530771,400000000,2
adaptive_lf10_iv1000k,adaptive,stream,512,32,10,1000,47.68,52.32,523.2,190720,209280,3168251662,400000000,2
adaptive_lf20_iv250k,adaptive,stream,512,32,20,250,49.41,50.59,505.9,197640,202360,3245108449,400000000,2
adaptive_lf20_iv500k,adaptive,stream,512,32,20,500,49.46,50.54,505.4,197840,202160,3218523780,400000000,2
adaptive_lf20_iv1000k,adaptive,stream,512,32,20,1000,49.68,50.32,503.2,198720,201280,3233615864,400000000,2
adaptive_lf40_iv250k,adaptive,stream,512,32,40,250,45.94,54.06,540.6,183760,216240,3237367465,400000000,2
adaptive_lf40_iv500k,adaptive,stream,512,32,40,500,45.54,54.46,544.6,182160,217840,3185542090,400000000,2
adaptive_lf40_iv1000k,adaptive,stream,512,32,40,1000,45.76,54.24,542.4,183040,216960,3227909795,400000000,2
lru,lru,mixed,512,32,,,76.13,23.87,238.7,395876,124124,1729323301,520000000,1
fifo,fifo,mixed,512,32,,,79.21,20.79,207.9,411892,108107,1770887674,520000000,1
random,random,mixed,512,32,,,71.35,28.65,286.5,371020,148980,1769985295,520000000,0
adaptive_lf10_iv250k,adaptive,mixed,512,32,10,250,83.59,16.41,164.1,434668,85332,1723236347,520000000,2
adaptive_lf10_iv500k,adaptive,mixed,512,32,10,500,84.34,15.66,156.6,438568,81431,1762956208,520000000,2
adaptive_lf10_iv1000k,adaptive,mixed,512,32,10,1000,83.62,16.38,163.8,434824,85175,1754369007,520000000,2
adaptive_lf20_iv250k,adaptive,mixed,512,32,20,250,86.8,13.2,132.0,451360,68640,1717198728,520000000,2
adaptive_lf20_iv500k,adaptive,mixed,512,32,20,500,86.76,13.24,132.4,451152,68847,1730159896,520000000,2
adaptive_lf20_iv1000k,adaptive,mixed,512,32,20,1000,85.44,14.56,145.6,444288,75711,1723798823,520000000,2
adaptive_lf40_iv250k,adaptive,mixed,512,32,40,250,81.84,18.16,181.6,425568,94431,1749522247,520000000,2
adaptive_lf40_iv500k,adaptive,mixed,512,32,40,500,82.72,17.28,172.8,430144,89855,1727875723,520000000,2
adaptive_lf40_iv1000k,adaptive,mixed,512,32,40,1000,80.73,19.27,192.7,419796,100203,1766661386,520000000,2
lru,lru,stride,512,32,,,63.2,36.8,368.0,303360,176640,2126717707,480000000,1
fifo,fifo,stride,512,32,,,66.18,33.82,338.2,317664,162335,2095394962,480000000,1
random,random,stride,512,32,,,59.76,40.24,402.4,286848,193152,2088559398,480000000,0
adaptive_lf10_iv250k,adaptive,stride,512,32,10,250,68.73,31.27,312.7,329904,150096,2114541771,480000000,2
adaptive_lf10_iv500k,adaptive,stride,512,32,10,500,70.84,29.16,291.6,340032,139968,2104520539,480000000,2
adaptive_lf10_iv1000k,adaptive,stride,512,32,10,1000,69.04,30.96,309.6,331392,148608,2091431951,480000000,2
adaptive_lf20_iv250k,adaptive,stride,512,32,20,250,71.43,28.57,285.7,342864,137135,2098298101,480000000,2
adaptive_lf20_iv500k,adaptive,stride,512,32,20,500,72.3,27.7,277.0,347040,132960,2087214508,480000000,2
adaptive_lf20_iv1000k,adaptive,stride,512,32,20,1000,71.22,28.78,287.8,341856,138143,2114683250,480000000,2
adaptive_lf40_iv250k,adaptive,stride,512,32,40,250,67.15,32.85,328.5,322320,157680,2089655167,480000000,2
adaptive_lf40_iv500k,adaptive,stride,512,32,40,500,67.97,32.03,320.3,326256,153744,2079596135,480000000,2
adaptive_lf40_iv1000k,adaptive,stride,512,32,40,1000,67.91,32.09,320.9,325968,154031,2100883776,480000000,2
